id,message,expected_intent,predicted_intent,confidence,decision,expected_action,retrieved_evidence,generated_reply,failure_type,notes
gold_001,Where is my package? Tracking says delivered but nothing is here!,delivery_delay,delivery_delay,0.9999,AUTO_HANDLE,AUTO_HANDLE,[ev_0019] sim=1.00,"We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID.",NONE,Standard package tracking inquiry with available historical resolution.
gold_002,"My order was supposed to arrive by 8 PM yesterday, still no delivery.",delivery_delay,delivery_delay,0.9985,AUTO_HANDLE,AUTO_HANDLE,[ev_0016] sim=0.63,"You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received.",NONE,Clear late delivery query.
gold_003,Package tracking status hasn't updated in 4 days. Is it lost in transit?,delivery_delay,delivery_delay,0.989,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Stuck tracking inquiry.
gold_004,Driver says handed directly to resident but I was at work all day.,delivery_delay,delivery_delay,0.5153,ESCALATE,AUTO_HANDLE,[ev_0019] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.52) is below policy threshold (0.65).,OVERCONSERVATIVE_ESCALATION,Misdelivery claim; standard advice is check property then contact support.
gold_005,It's been two weeks and my parcel is still stuck at the regional sort facility.,delivery_delay,product_question,0.2099,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.61,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.21) is below policy threshold (0.65).,INTENT_AND_ACTION_MISMATCH,Transit delay inquiry.
gold_006,"Package marked delivered on porch but building has no porch, it's an apartment high-rise.",delivery_delay,delivery_delay,0.9971,AUTO_HANDLE,AUTO_HANDLE,[ev_0019] sim=0.61,"We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID.",NONE,Misdelivery at wrong building structure.
gold_007,Guaranteed 1-day shipping failed for the third time this week!,delivery_delay,delivery_delay,0.8618,ESCALATE,AUTO_HANDLE,[ev_0007] sim=0.59,"We've routed your inquiry to a specialized human support agent. Reason: Customer reports repeated unresolved interactions, agent hang-up, or explicitly demands supervisory intervention. | No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).",OVERCONSERVATIVE_ESCALATION,Prime delivery promise breach.
gold_008,Tracking number 9400111899562537612 shows delivery attempted but gate code was provided.,delivery_delay,delivery_delay,0.9453,AUTO_HANDLE,AUTO_HANDLE,[ev_0019] sim=0.62,"We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID.",NONE,Delivery access issue.
gold_009,Is there any way to expedite my shipment after dispatch?,delivery_delay,cancellation_request,0.743,ESCALATE,AUTO_HANDLE,[ev_0017] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.60 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Post-dispatch speed request.
gold_010,Delivery attempted notice left but nobody rang the bell.,delivery_delay,delivery_delay,0.8208,ESCALATE,AUTO_HANDLE,[ev_0019] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Missed delivery attempt inquiry.
gold_011,Where is my stuff?! You promised Tuesday!,delivery_delay,delivery_delay,0.403,ESCALATE,AUTO_HANDLE,[ev_0019] sim=0.70,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.40) is below policy threshold (0.65).,OVERCONSERVATIVE_ESCALATION,Colloquial late delivery query.
gold_012,My meds were inside that package and temperature sensitive. Need this immediately or I will be hospitalized.,delivery_delay,complaint_escalation,0.32,ESCALATE,ESCALATE,[ev_0002] sim=0.61,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.32) is below policy threshold (0.65).,MISCLASSIFIED_INTENT,Medical emergency / high-risk situation requiring human intervention.
gold_013,"Driver literally threw my package onto the roof, how do I get it down?",delivery_delay,delivery_delay,0.8739,AUTO_HANDLE,ESCALATE,[ev_0025] sim=0.65,You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.,UNSAFE_AUTO_HANDLE,Bizarre delivery mishap needing specialized dispatch review.
gold_014,Tracking says delivered to mailroom but receptionist states no courier arrived.,delivery_delay,delivery_delay,0.999,AUTO_HANDLE,AUTO_HANDLE,[ev_0019] sim=0.74,"We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID.",NONE,Commercial address misplacement.
gold_015,Can I change delivery address while package is out for delivery with courier?,delivery_delay,delivery_delay,0.9888,ESCALATE,AUTO_HANDLE,[ev_0013] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,In-transit rerouting request.
gold_016,"Package stolen off my porch, I have security cam footage of the thief.",delivery_delay,delivery_delay,0.8333,AUTO_HANDLE,ESCALATE,[ev_0009] sim=0.62,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,UNSAFE_AUTO_HANDLE,Theft / police report claim needing manual claims handling.
gold_017,Delayed again? This is getting ridiculous.,delivery_delay,technical_problem,0.4866,ESCALATE,AUTO_HANDLE,[ev_0007] sim=0.61,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.49) is below policy threshold (0.65).,INTENT_AND_ACTION_MISMATCH,Short frustrated delivery complaint.
