conversation_id,brand,customer_message,brand_reply
conv_000026,AmazonHelp,My refund has not arrived in my bank account yet. It has been 10 days.,@cust_4043 Refunds typically take 3-5 business days depending on your bank. Please DM us your order details so we can trace the transaction.
conv_000024,AmazonHelp,I cannot log into my account. It says password incorrect even after reset. Can someone please assist? Thanks.,"@cust_8639 Let's help you get back in! Please check your spam folder for the OTP, or visit our Account Recovery page."
conv_000020,AmazonHelp,@AmazonHelp My package arrived damaged. The box was crushed and the item inside is broken. This is frustrating!,@cust_9129 We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.
conv_000012,AmazonHelp,"Hey @AmazonHelp, can you help me cancel my order 112-984712-441? it was an accidental purchase.","@cust_8127 You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received."
conv_000005,AmazonHelp,@AmazonHelp Where is my package? Tracking says delivered but nothing is here! This is frustrating!,"@cust_9954 We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID."
conv_000046,AmazonHelp,Your customer service agent hung up on me earlier. Terrible experience.,@cust_6510 We hold our service to high standards and apologize sincerely. Please send us a DM with your phone number and time of call so we can investigate.
conv_000027,AmazonHelp,"Hey @AmazonHelp, my refund has not arrived in my bank account yet. it has been 10 days.",@cust_7825 Refunds typically take 3-5 business days depending on your bank. Please DM us your order details so we can trace the transaction.
conv_000010,AmazonHelp,@AmazonHelp I was charged twice for my Prime membership this month! Please refund. This is frustrating!,@cust_6717 We apologize for the double billing! Please send us a DM with your account email so we can verify and issue an immediate refund.
conv_000030,AmazonHelp,@AmazonHelp My refund has not arrived in my bank account yet. It has been 10 days. This is frustrating!,@cust_9108 Refunds typically take 3-5 business days depending on your bank. Please DM us your order details so we can trace the transaction.
conv_000017,AmazonHelp,"Hey @AmazonHelp, my package arrived damaged. the box was crushed and the item inside is broken.",@cust_6305 We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.
conv_000032,AmazonHelp,"Hey @AmazonHelp, how do i return a gift that i received without notifying the sender?",@cust_2318 You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.
conv_000022,AmazonHelp,"Hey @AmazonHelp, i cannot log into my account. it says password incorrect even after reset.","@cust_3018 Let's help you get back in! Please check your spam folder for the OTP, or visit our Account Recovery page."
conv_000013,AmazonHelp,@AmazonHelp Urgent: Can you help me cancel my order 112-984712-441? It was an accidental purchase.,"@cust_3634 You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received."
conv_000004,AmazonHelp,Where is my package? Tracking says delivered but nothing is here! Can someone please assist? Thanks.,"@cust_3570 We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID."
conv_000040,AmazonHelp,@AmazonHelp Streaming quality on Prime Video is buffering constantly on my TV. This is frustrating!,"@cust_7219 Sorry for the playback issues! Please restart your router, clear Prime Video app cache, and ensure your app is updated to the latest version."
conv_000039,AmazonHelp,Streaming quality on Prime Video is buffering constantly on my TV. Can someone please assist? Thanks.,"@cust_3803 Sorry for the playback issues! Please restart your router, clear Prime Video app cache, and ensure your app is updated to the latest version."
conv_000011,AmazonHelp,Can you help me cancel my order 112-984712-441? It was an accidental purchase.,"@cust_1858 You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received."
conv_000025,AmazonHelp,@AmazonHelp I cannot log into my account. It says password incorrect even after reset. This is frustrating!,"@cust_3143 Let's help you get back in! Please check your spam folder for the OTP, or visit our Account Recovery page."
conv_000036,AmazonHelp,Streaming quality on Prime Video is buffering constantly on my TV.,"@cust_3964 Sorry for the playback issues! Please restart your router, clear Prime Video app cache, and ensure your app is updated to the latest version."
conv_000001,AmazonHelp,Where is my package? Tracking says delivered but nothing is here!,"@cust_2539 We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID."
conv_000044,AmazonHelp,I need an official VAT invoice for my business purchase. Can someone please assist? Thanks.,@cust_1294 You can download VAT invoices directly from 'Your Orders' -> 'Invoice'. DM us if the invoice option is missing.
conv_000019,AmazonHelp,My package arrived damaged. The box was crushed and the item inside is broken. Can someone please assist? Thanks.,@cust_7860 We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.
conv_000034,AmazonHelp,How do I return a gift that I received without notifying the sender? Can someone please assist? Thanks.,@cust_5061 You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.
conv_000049,AmazonHelp,Your customer service agent hung up on me earlier. Terrible experience. Can someone please assist? Thanks.,@cust_7161 We hold our service to high standards and apologize sincerely. Please send us a DM with your phone number and time of call so we can investigate.
conv_000042,AmazonHelp,"Hey @AmazonHelp, i need an official vat invoice for my business purchase.",@cust_9556 You can download VAT invoices directly from 'Your Orders' -> 'Invoice'. DM us if the invoice option is missing.
conv_000031,AmazonHelp,How do I return a gift that I received without notifying the sender?,@cust_3831 You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.
conv_000029,AmazonHelp,My refund has not arrived in my bank account yet. It has been 10 days. Can someone please assist? Thanks.,@cust_2157 Refunds typically take 3-5 business days depending on your bank. Please DM us your order details so we can trace the transaction.
conv_000021,AmazonHelp,I cannot log into my account. It says password incorrect even after reset.,"@cust_4344 Let's help you get back in! Please check your spam folder for the OTP, or visit our Account Recovery page."
conv_000023,AmazonHelp,@AmazonHelp Urgent: I cannot log into my account. It says password incorrect even after reset.,"@cust_5281 Let's help you get back in! Please check your spam folder for the OTP, or visit our Account Recovery page."
conv_000043,AmazonHelp,@AmazonHelp Urgent: I need an official VAT invoice for my business purchase.,@cust_1988 You can download VAT invoices directly from 'Your Orders' -> 'Invoice'. DM us if the invoice option is missing.
conv_000047,AmazonHelp,"Hey @AmazonHelp, your customer service agent hung up on me earlier. terrible experience.",@cust_3086 We hold our service to high standards and apologize sincerely. Please send us a DM with your phone number and time of call so we can investigate.
conv_000037,AmazonHelp,"Hey @AmazonHelp, streaming quality on prime video is buffering constantly on my tv.","@cust_1732 Sorry for the playback issues! Please restart your router, clear Prime Video app cache, and ensure your app is updated to the latest version."
conv_000033,AmazonHelp,@AmazonHelp Urgent: How do I return a gift that I received without notifying the sender?,@cust_1345 You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.
conv_000045,AmazonHelp,@AmazonHelp I need an official VAT invoice for my business purchase. This is frustrating!,@cust_8789 You can download VAT invoices directly from 'Your Orders' -> 'Invoice'. DM us if the invoice option is missing.
conv_000014,AmazonHelp,Can you help me cancel my order 112-984712-441? It was an accidental purchase. Can someone please assist? Thanks.,"@cust_7826 You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received."
