id,conversation_id,message,intent,expected_action,difficulty,evidence_available,notes
gold_001,gold_conv_001,Where is my package? Tracking says delivered but nothing is here!,delivery_delay,AUTO_HANDLE,EASY,TRUE,Standard package tracking inquiry with available historical resolution.
gold_002,gold_conv_002,"My order was supposed to arrive by 8 PM yesterday, still no delivery.",delivery_delay,AUTO_HANDLE,EASY,TRUE,Clear late delivery query.
gold_003,gold_conv_003,Package tracking status hasn't updated in 4 days. Is it lost in transit?,delivery_delay,AUTO_HANDLE,EASY,TRUE,Stuck tracking inquiry.
gold_004,gold_conv_004,Driver says handed directly to resident but I was at work all day.,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Misdelivery claim; standard advice is check property then contact support.
gold_005,gold_conv_005,It's been two weeks and my parcel is still stuck at the regional sort facility.,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Transit delay inquiry.
gold_006,gold_conv_006,"Package marked delivered on porch but building has no porch, it's an apartment high-rise.",delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Misdelivery at wrong building structure.
gold_007,gold_conv_007,Guaranteed 1-day shipping failed for the third time this week!,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Prime delivery promise breach.
gold_008,gold_conv_008,Tracking number 9400111899562537612 shows delivery attempted but gate code was provided.,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Delivery access issue.
gold_009,gold_conv_009,Is there any way to expedite my shipment after dispatch?,delivery_delay,AUTO_HANDLE,EASY,TRUE,Post-dispatch speed request.
gold_010,gold_conv_010,Delivery attempted notice left but nobody rang the bell.,delivery_delay,AUTO_HANDLE,EASY,TRUE,Missed delivery attempt inquiry.
gold_011,gold_conv_011,Where is my stuff?! You promised Tuesday!,delivery_delay,AUTO_HANDLE,EASY,TRUE,Colloquial late delivery query.
gold_012,gold_conv_012,My meds were inside that package and temperature sensitive. Need this immediately or I will be hospitalized.,delivery_delay,ESCALATE,HARD,FALSE,Medical emergency / high-risk situation requiring human intervention.
gold_013,gold_conv_013,"Driver literally threw my package onto the roof, how do I get it down?",delivery_delay,ESCALATE,HARD,FALSE,Bizarre delivery mishap needing specialized dispatch review.
gold_014,gold_conv_014,Tracking says delivered to mailroom but receptionist states no courier arrived.,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Commercial address misplacement.
gold_015,gold_conv_015,Can I change delivery address while package is out for delivery with courier?,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,In-transit rerouting request.
gold_016,gold_conv_016,"Package stolen off my porch, I have security cam footage of the thief.",delivery_delay,ESCALATE,HARD,FALSE,Theft / police report claim needing manual claims handling.
gold_017,gold_conv_017,Delayed again? This is getting ridiculous.,delivery_delay,AUTO_HANDLE,EASY,TRUE,Short frustrated delivery complaint.
gold_018,gold_conv_018,Courier marked business closed at 2 PM on a weekday.,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Delivery attempt dispute.
gold_019,gold_conv_019,My parcel says delivered to neighbor in unit 4B but unit 4B is vacant.,delivery_delay,AUTO_HANDLE,HARD,TRUE,Complex delivery anomaly.
gold_020,gold_conv_020,Delivery driver backed into my driveway gate and broke it while delivering!,delivery_delay,ESCALATE,HARD,FALSE,Property damage claim; strictly escalate.
gold_021,gold_conv_021,"Expected delivery was 3 days ago, no status update since.",delivery_delay,AUTO_HANDLE,EASY,TRUE,Late shipment inquiry.
gold_022,gold_conv_022,Can I pick up the package from the carrier hub directly instead of waiting?,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Hub pickup inquiry.
gold_023,gold_conv_023,Tracking shows returned to sender because address was illegible.,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Return to sender exception.
gold_024,gold_conv_024,Package was left in the rain and ruined.,delivery_delay,AUTO_HANDLE,MEDIUM,TRUE,Weather damage on delivery.
gold_025,gold_conv_025,Still waiting... order 402-9981241-11234,delivery_delay,AUTO_HANDLE,EASY,TRUE,Short inquiry with order ID.
